model,layer_type,block,bottleneck_number,sal_Baseline,sem_Baseline,sal_Control,sem_Control,sal_Salient,sem_Salient,sal_Semantic,sem_Semantic,sal_Semantic_Salient,sem_Semantic_Salient
rn50,conv,,,0.03039174186168558,0.1329956761563333,4.3920659911416554e-05,0.003791697443098485,0.001397136561400985,0.0010892446200905792,-0.005026508873169768,-0.006002058623152895,0.002609306160352539,-0.02355264200251138
rn50,bn,,,-0.12180226559905988,-0.003104213061367115,-0.004928503842062254,0.006475489937423947,-0.001180123413569767,-0.002538465406334965,-0.002401690775525947,0.005598276888556724,-0.005557829205216552,-0.03310637266001741
rn50,relu,,,-0.1109971018291791,-0.013999072252103366,-0.004570640195571032,0.007372531088104185,0.002504919946058684,-0.003034966357125102,-0.0009392162410263999,0.005526135645059849,-0.0022958267459512183,-0.030380599589402313
rn50,maxpool,,,0.07852561968641388,0.07993432310455435,0.012131129945303909,0.007709973189409636,0.03244850647942016,0.01305392544019894,0.01125104032443093,-0.004624997320408539,0.018139707120285647,-0.004323344284209482
rn50,conv,1,0,0.07761968063381096,0.06806131718892242,0.014690391336810799,0.004739805464150329,0.035531970359108225,0.01613272365450996,0.012705560872048077,-0.002292614222457093,0.02273763722932394,-0.0021432097371041903
rn50,bn,1,0,-0.01482253316843757,0.07452746298685456,0.01984246070974497,0.017043913747019426,0.04045374713377056,0.031509195497303244,0.02105473456752496,0.0016858693884379966,0.032796026536606446,0.0096505841677451
rn50,conv,1,0,-0.06538940928580754,0.07751284785688983,0.00612727430390219,0.00789129546204495,-0.003085015334799851,0.006840303821998725,0.003475187486966673,-0.0010170496976980165,-0.0017817740331101672,-0.012712584310581587
rn50,bn,1,0,-0.030559846320845744,0.07008204440182232,0.00977949035258377,0.009646669777268038,0.009581693427825506,0.00514087718946106,0.008988478931246956,-0.004530975962188558,0.008052645642087245,-0.010423855877422464
rn50,conv,1,0,0.06701749257281303,0.030263470922015246,0.005054325473753937,0.0018586219332656258,0.011049942593867865,-0.017652127906013698,0.0011173280688686338,-0.0007671857699240864,0.014632791306819312,-0.01692562941285515
rn50,bn,1,0,0.06455609803504737,0.10275354606237573,0.006733566534584651,0.0013592587272726608,0.01583846307273247,0.0016275593989109188,-7.48918381180963e-05,-0.004076023824989478,0.017378904782515858,-0.004039202478553355
